title,category,first_sentence
Men in Black: Alien Attack,attraction,"Men in Black: Alien Attack is a shooting interactive dark ride located at Universal Studios Florida in Orlando, Florida, based on the film, Men in Black, itself based on the original comic book of the same name created by Lowell Cunningham. The ride opened on April 14, 2000."
Men in Black: International,film,"Men in Black: International (stylized as MIB: International in promotional material) is a 2019 American science fiction action-comedy film directed by F. Gary Gray and written by Art Marcum and Matt Holloway. It is the fourth in the Men in Black film series, based on The Men in Black comic book series, in turn based on the conspiracy theory."
Men in Black: International (score),film,"Men in Black: International (Original Motion Picture Score) is the score album to the 2019 film Men in Black: International directed by F. Gary Gray, a standalone sequel and the fourth instalment in the Men in Black franchise. The film's musical score is composed by Danny Elfman and Chris Bacon and released through Sony Classical Records on June 7, 2019."
Men in Black: The Album,film,"Men in Black: The Album is a soundtrack album to the film Men in Black, released on July 1, 1997. Distributed by Columbia Records, the album featured production from producers such as Poke & Tone, Jermaine Dupri and The Ummah."
Men in Black: The Game,film,"Men in Black: The Game is an adventure video game developed by Gigawatt Studios for Microsoft Windows in 1997. Though it is a licensed game based on the 1997 film Men in Black, the plot is unrelated and it is a survival horror game as opposed to being a comedy."
Men in Black: The Roleplaying Game,video_game,Men in Black: The Roleplaying Game is a role-playing game written by George Strayton and published by West End Games in 1997.
Men in Black: The Series,tv_series,"Men in Black: The Series (also known as MIB: The Series, MIB: The Animated Series, and Men in Black: The Animated Series) is an American animated television series that originally aired on Kids' WB from October 11, 1997, to June 30, 2001. The show features characters from the science fiction film Men in Black, which was based on the comic book series The Men in Black created by Lowell Cunningham."
Men in Black: The Series (video game),tv_series,"Men in Black: The Series is an action platform video game developed by Tiertex Design Studios and published by Crave Entertainment for the Game Boy Color (GBC) on December 14, 1998. The game is based on the animated television series of the same name, and was followed by a sequel titled Men in Black 2: The Series, released for the Game Boy Color in 2000."
Men in Black: The Series – Crashdown,tv_series,"Men in Black: The Series – Crashdown is a first-person shooter video game based on the animated television series, Men in Black: The Series. The game was developed by Runecraft and published by Infogrames for the PlayStation."
Men in Blazers,organization,"Men in Blazers  is the largest independent association football-focused media company in North America.
Having grown out of a single podcast to a full-scale digital network, MiBMN covers the sport year-round, hosting the biggest names in the game, along with a rotation of celebrity superfans from around the globe."
Men in Exile,film,"Men in Exile is a 1937 American drama film directed by John Farrow. A ""B"" movie from Warner Bros."
Men in Fright,film,"Men in Fright is a 1938 Our Gang short comedy film directed by George Sidney.  Produced and released by Metro-Goldwyn-Mayer, it was the 172nd Our Gang short to be released."
Men in Her Diary,film,Men in Her Diary is a 1945 American comedy film. It stars Peggy Ryan and Jon Hall and was written by Lester Cole and directed by Charles Barton.
Men in Her Life,film,"Men in Her Life is a 1931 American pre-Code drama film directed by William Beaudine and starring Lois Moran, Charles Bickford and Victor Varconi. It was based on a 1930 novel by Warner Fabian (Samuel Hopkins Adams)."
Men in Her Life (painting),artwork,"Men in Her Life is a 1962 painting by Andy Warhol. It is a black and white painting inspired by the life of Elizabeth Taylor, a seven foot tall creation of the artist."
Men in Hope,film,Men in Hope (Czech: Muži v naději) is a 2011 Czech romantic sex comedy film written and directed by Jiří Vejdělek.
Men in Kilts: A Roadtrip with Sam and Graham,film,"Men in Kilts: A Roadtrip with Sam and Graham is an American documentary television series that follows Sam Heughan and Graham McTavish as they travel across Scotland and discover their heritage. It premiered on February 14, 2021, on Starz."
Men in Love,disambiguation,Men in Love may refer to:
Men in Love (film),film,"Men in Love is a 2010 direct-to-video Nigerian drama film directed by Moses Ebere and starring Tonto Dike, John Dumelo and Halima Abubakar. The film tells a story of how a couple experiencing troubles in their marriage has their situation worsened when a cursed homosexual friend visits them."
Men in Love (novel),book,"Men In Love is a 2025 novel by Scottish writer Irvine Welsh.  It is a sequel to his 1993 novel Trainspotting, but set before its 2002 sequel Porno."
Men in Love (song),music,"""Men in Love"" is a 2010 song by Gossip, from their album Music for Men."
Men in Middle-earth,topic,"In J. R. R. Tolkien's Middle-earth fiction, Man or Men denote humans, whether male or female, adult or child,  in contrast to Elves, Hobbits, Dwarves, Orcs, and other sentient races. 
Men are described as the second or younger people, created after the Elves, and differing from them in being mortal."
Men in Pain,tv_series,Men in Pain (Traditional Chinese: 男人之苦) is a TVB modern drama series broadcast in June 2006.
Men in Rut,film,Men in Rut (Czech: Muži v říji) is a Czech drama film directed by Robert Sedláček. It was released in 2009.
Men in This Town,music,"""Men in This Town"" is a song by Colombian singer-songwriter Shakira recorded for her eighth studio album, She Wolf (2009). Combining hyperpop, alternative rock and electroclash, its lyrics talk about trying to find love in Los Angeles."
Men in Trees,tv_series,"Men in Trees is an American romantic comedy-drama television series starring Anne Heche as relationship coach Marin Frist, which premiered on September 12, 2006, on ABC. The series is set in the fictional town of Elmo, Alaska, and concerns Marin Frist's misadventures in relationships. The premise showed at least superficial similarities to the HBO television series Sex and the City (on which series creator Jenny Bicks was a co-executive producer) which also featured a romantically oriented female writer."
Men in Vogue,organization,"Men in Vogue was a British magazine of male fashion from the same publishers as Vogue. It was first published in 1965, and ceased publication in 1970."
Men in War,film,Men in War is a 1957 black-and-white American war film about the Korean War directed by Anthony Mann and starring Robert Ryan and Aldo Ray as the leaders of a small detachment of American soldiers cut off and desperately trying to rejoin their division. The events of the film take place on one day; 6 September 1950.
Men in White,disambiguation,Men in White may refer to:
Men in White (1934 film),film,"Men in White is a 1934 pre-Code drama film starring Clark Gable and Myrna Loy, and directed by Ryszard Bolesławski. The story is loosely based on the Sidney Kingsley Pulitzer-Prize-winning play of the same name."
Men in White (1955 film),film,"Men in White (French: Les hommes en blanc) is a 1955 French drama film directed by Ralph Habib and starring Raymond Pellegrin, Jeanne Moreau and Jean Chevrier. The film's sets were designed by the art director Robert Clavel."
Men in White (2007 film),film,Men in White (Chinese: 鬼啊鬼啊) is a 2007 Singaporean horror comedy film directed by Kelvin Tong. Filming for the film began in late 2006.
Men in White (TV series),tv_series,"Men in White is a TV show starring Adam Rutherford, Basil Singer, and Jem Stansfield. The show revolved around the three scientists who try to solve average, everyday problems."
Men in White (play),play,"Men in White is a 1933 play written by American playwright Sidney Kingsley. 
It was produced by the Group Theatre, Sidney Harmon and James Ramsey Ullman,
directed by Lee Strasberg with scenic design created by Mordecai Gorelik."
Men in black,topic,"In popular culture and UFO conspiracy theories, men in black (MIB) are allegedly government agents dressed in dark suits, who question, interrogate, harass, and threaten unidentified flying object (UFO) witnesses to keep them silent about what they have seen. The term is also frequently used to describe mysterious men working for unknown organizations, as well as various branches of government allegedly tasked with protecting government UFO secrets or performing other strange activities."
Men in blue,disambiguation,"Men in blue or Man in Blue, may refer to:"
Men in early childhood education,topic,Men in early childhood education comprise a very low minority in the profession. Early childhood education is among the most female-dominated industries in terms of employment.
Men in feminism,topic,"Men in feminism involves the participation, contribution, and theoretical engagement of men in the feminist movement from its outset to modern day. Historically, men have both supported and critiqued feminist causes."
Men in nursing,topic,"Nursing is a profession which is staffed disproportionately by women in most parts of the world.  According to the World Health Organization's (WHO) 2020 State of the World's Nursing, approximately 10% of the worldwide nursing workforce is male."
Men in the City,film,"Men in the City (German: Männerherzen; literally ""Men's Hearts"") is a 2009 German comedy film directed by Simon Verhoeven with Christian Ulmen, Nadja Uhl and Wotan Wilke Möhring. The film was followed by Men in the City 2 in 2011."
Men in the Dark,film,"Men in the Dark (Swedish: Männen i mörker) is a 1955 Swedish drama film directed by Arne Mattsson and starring Elof Ahrle, Sigge Fürst and Sven Lindberg. It was shot at the Kungsholmen Studios of Nordisk Tonefilm in Stockholm and on location in Dannemora."
Men in the Off Hours,book,Men in the Off Hours (2000) is a book of poems and prose pieces by Anne Carson. It won her the inaugural Griffin Poetry Prize in 2001.
Men in the Raw,film,"Men in the Raw is a 1923 American silent Western film directed by George Marshall and written by George Hively. The film stars Jack Hoxie, Marguerite Clayton, Sid Jordan, J. Morris Foster, Tom Kerrick, and William Lowery."
Men in the Sun,book,"Men in the Sun (Arabic: رجال في الشمس, romanized: Rijāl fī al-Shams) is a novel by Palestinian author Ghassan Kanafani (1936–72), originally published in 1962. Men in the Sun follows three Palestinian refugees seeking to travel from the refugee camps in Iraq, where they cannot find work, to Kuwait where they hope to find work as laborers in the oil boom."
Men in tights,disambiguation,Men in tights can refer to:
