title,category,first_sentence
Women in America: Indicators of Social and Economic Well-Being,topic,"Women in America: Indicators of Social and Economic Well-Being is a report issued in 2011 by the United States Department of Commerce Economics and Statistics Administration and the Executive Office of the President Office of Management and Budget for the White House Council on Women and Girls, during the administration of President Barack Obama. The report, which pulls together data from federal sources to give a ""snapshot"" of the well-being of American women, was released in March in observance of Women's History Month."
Women in American radio,topic,Women have participated in radio broadcasting in America as presenters and owners.
Women in Amish society,topic,"The Amish faith is a highly traditional Christian tradition in the Anabaptist branch of the Reformation. It is practiced almost exclusively in the United States and Canada with large settlements in Pennsylvania, Ohio, and Indiana."
Women in Andorra,topic,"Legally, women in Andorra have equal rights under the laws of the Principality of Andorra. Voting rights were extended to women in 1970, and a majority of the General Council are female."
Women in Anglo-Saxon society,topic,"The study of the role of women in the society of early medieval England, or Anglo-Saxon England, is a topic which includes literary, history and gender studies. Important figures in the history of studying early medieval women include Christine Fell, and Pauline Stafford."
Women in Angola,topic,"Women in Angola face significant societal barriers regarding equal pay, physical and sexual safety, and access to assets. Progress has been made to improve the gender equality and in 2024, 38.6% of seats in the Angolan National Assembly were held by women."
Women in Animation,organization,"WIA (originally Women in Animation) is a non-profit organization with the purpose of furthering, promoting, and supporting female animators in the art, science and business of animation.  WIA helps young female artists to find a place in the business world."
Women in Antarctica,topic,"Women have been exploring the regions around Antarctica for many centuries. The most celebrated ""first"" for women in Antarctica was in 1935 when Caroline Mikkelsen became the first woman to set foot on one of Antarctica's islands."
Women in Argentina,topic,"The status of women in Argentina has changed significantly following the return of democracy in 1983; and they have attained a relatively high level of equality. In the Global Gender Gap Report prepared by the World Economic Forum in 2009, Argentine women ranked 24th among 134 countries studied in terms of their access to resources and opportunities relative to men."
Women in Armenia,topic,"Women in Armenia have had equal rights, including the right to vote, since the establishment of the First Republic of Armenia. On June 21 and 23, 1919, the first direct parliamentary elections were held in Armenia under universal suffrage - every person over the age of 20 had the right to vote regardless of gender, ethnicity or religious beliefs."
Women in Arms,topic,Women in Arms (also known as Donne armate) is 1991 Italian television action-drama film directed by Sergio Corbucci. It was Corbucci's final work.
Women in Arts Award,organization,"The Women in Arts Award is an award established in 2019 by UN Women Ukraine and the Ukrainian Institute, and presented as part of HeForShe Ukraine's annual arts week in March. Only women are nominated for the award; its purpose is to bring attention to the achievements of female artists in Ukraine, who have been historically overlooked by the Ukrainian arts scene."
Women in Asia,topic,The evolution and history of women in Asia coincide with the evolution and history of Asian continent itself. They also correspond with the cultures that developed within the region.
Women in Australia,topic,"Women in Australia refers to women's demographic and cultural presence in Australia. Australian women have contributed greatly to the country's development, in many areas."
Women in Austria,topic,"The legal position of women in Austria has improved since the mid-1970s. With regard to women's rights, the priority in Austria is based on the equal treatment of both genders, rather than having equal rights only."
Women in Aviation International,organization,"Women in Aviation International (WAI) is an organization dedicated to increasing the number of women involved in all aspects of aviation and aerospace. As an international nonprofit organization, WAI provides networking, education, mentoring, and scholarship opportunities for women and men in careers in aviation and aerospace."
Women in Aviation International Pioneer Hall of Fame,topic,"The Women in Aviation International Pioneer Hall of Fame (Also WAI Pioneer Hall of Fame) was established in 1992 by Women in Aviation International to honor and recognize women who have made significant contributions to aviation. Its purpose is to honor women who have made significant contributions as record setters, pioneers, or innovators in the aviation and aerospace industries."
Women in Azerbaijan,topic,"Women in Azerbaijan nominally enjoy the same legal rights as men; however, societal discrimination remains a problem. Baku Research Institute reports that: ""Violations of privacy in political and social relations, such as interfering in private life, the sharing of private information, and unauthorized access to private space, are widespread in Azerbaijan""."
Women in Aztec civilization,topic,Women in Aztec civilization shared some equal opportunities. Aztec civilization saw the rise of a military culture that was closed off to women and made their role more prescribed to domestic and reproductive labor and less equal.
Women in Bahrain,topic,"Women in Bahrain are provided freedoms in every aspect of their life and their personal liberties are long respected, both by the laws of Bahrain and by Bahraini society in general. Life and work opportunities are widely available in all positions and industries."
Women in Bangladesh,topic,"The status of women in Bangladesh has been subject to many important changes over the past few centuries. Bangladeshi women have made significant progress since the country's independence in 1971, where women in the region experienced increased political empowerment for women, better job prospects, increased opportunities of education and the adoption of new laws to protect their rights through Bangladesh's policies in the last four decades."
Women in Belarus,topic,"The modern-day characteristics of women in Belarus evolved from the events that happened in the history of Belarus, particularly when the ""concept of equal rights for women was first developed and substantiated in the late 16th century"". The so-called Grand Duchy Charter of 1588 – one of the most important legal documents in Belarusian history – protected the dignity of Belarusian women under the law."
Women in Belgium,topic,"Women in Belgium have made significant progress to achieve gender equality. In 1999, the average earnings of a Belgian woman was 91 percent of the salary of a Belgian man."
Women in Benin,topic,"Women in Benin have gained more rights since the restoration of democracy and the ratification of the Constitution, and the passage of the Personal and Family Code in 2004. These both overrode various traditional customs that systematically treated women unequally."
Women in Bermuda,topic,"The term Women in Bermuda includes British nationals with local status, British nationals without Bermudian status, Commonwealth nationals and foreign nationals who are resident in the British Overseas Territory of Bermuda, although in most cases only the first of these groups is intended to be connoted."
Women in Bhutan,topic,"Economic development in the country of Bhutan has increased opportunities for women to participate in fields such as medicine (both as physicians and nurses), teaching, and administration. Women were providing more labor than men in all sectors of the economy."
Women in Black,topic,"Women in Black (Hebrew: נשים בשחור, romanized: Nashim BeShahor) is a women's anti-war movement with an estimated 10,000 activists around the world. The first group was formed by Israeli women in Jerusalem in 1988, following the outbreak of the First Intifada."
Women in Black of Wat Samian Nari,topic,"The Women in Black of Wat Samian Nari is a Thai urban legend that revolves around the ghosts of two women dressed in black, who are said to appear near the front of Wat Samian Nari in Bangkok late at night. It is considered one of the most famous contemporary urban legends of Bangkok."
Women in Bletchley Park,topic,"About 7,500 women worked in Bletchley Park, the central site for British cryptanalysts during World War II. Women constituted roughly 75% of the workforce there. While women were overwhelmingly under-represented in high-level work such as cryptanalysis, they were employed in large numbers in other important areas, including as operators of cryptographic and communications machinery, translators of Axis documents, traffic analysts, clerical workers, and more."
Women in Blue (film),film,Women In Blue is a 2021 American documentary film directed by Deirdre Fishel. The film follows four women who worked for the Minneapolis Police Department.
Women in Bondage,film,Women in Bondage is a 1943 World War II film about conditions for women under Hitler's regime directed by Steve Sekely and starring Gail Patrick and Nancy Kelly. The plot involves two women imprisoned for speaking out against the government.
Women in Bosnia and Herzegovina,topic,"Women in Bosnia and Herzegovina are European women who live in and are from Bosnia and Herzegovina. According to International Fund for Agricultural Development (IFAD), women of Bosnia and Herzegovina have been affected by three types of transition after the Bosnian War (1992-1995): the ""transition from war to peace"", economic transition, and political transition."
Women in Botswana,topic,The political representation of women in Botswana has fallen behind neighbouring countries.
Women in Brunei,topic,Women in Brunei are women living in Brunei Darussalam. The U.S. Department of State has stated that discrimination against women is a problem in Brunei.
Women in Buddhism,topic,"Women in Buddhism is a topic that can be approached from varied perspectives including those of theology, history, archaeology, anthropology, and feminism. Topical interests include the theological status of women, the treatment of women in Buddhist societies at home and in public, the history of women in Buddhism, and a comparison of the experiences of women across different forms of Buddhism."
Women in Bulgaria,topic,"Women in Bulgaria refers to women who live in and are from Bulgaria. Women's position in Bulgarian society has been influenced by a variety of cultures and ideologies, including
the Byzantine and Ottoman cultures, Eastern Orthodox Christianity, communist ideology, and contemporary globalized Western values."
Women in Burundi,topic,"Following the recommendations of a Universal Periodic Review (UPR) in 2008, Burundi ratified the International Convention for the Protection of All Persons from Enforced Disappearance (ICPPED), Optional Protocol to the Convention on the Elimination of All Forms of Discrimination Against Women (OP-CEDAW), and the Optional Protocol to the Convention Against Torture (OPCAT).
However, women are underrepresented in power structures."
Women in Business Award,event,The Women in Business Award is a biannual award given by the United Nations Conference on Trade and Development (UNCTAD). The competition is restricted to women who have taken part in the EMPRETEC programme.
Women in Business Romania,organization,"Women in Business Romania (Romanian: Femei în Afaceri) is a non-profit organization based in Bucharest, Romania, founded in 2009 by entrepreneur Alice Botnarenco. The organization develops projects addressed to female entrepreneurs as well as for women working in companies, who seek to improve themselves professionally or to promote their businesses."
Women in CNT in Francoist Spain,topic,"Women in CNT in Francoist Spain were persecuted as part of state organized efforts to eliminate remaining leftist elements. Confederación Nacional del Trabajo (CNT) was formed in 1910, and from the onset it did not treat women equally to men inside the organization."
Women in Cages,film,"Women in Cages is a 1971 women in prison sexploitation film directed by Gerardo de Leon and starring Jennifer Gan, Judy Brown, Roberta Collins, and Pam Grier. Co-produced by Roger Corman, it was prominently featured in the Planet Terror portion of the 2007 film Grindhouse."
Women in Cambodia,topic,"Women in Cambodia, due to the influence of the dominant Khmer culture, are traditionally expected to be modest and soft-spoken. They are to be well-mannered, industrious, and hold a sense of belonging to the household."
Women in Canadian politics,topic,"Representation by women has been a significant issue in Canadian politics since 1900.
The first woman elected to a provincial legislature in Canada was Louise McKinney in the 1917 Alberta general election, while the first woman elected to the House of Commons was Agnes Macphail, in the 1921 Canadian federal election."
Women in Canadian provincial and territorial legislatures,topic,This is a list of women who are currently members of the provincial and territorial Legislative Assemblies in Canada.
Women in Cell Biology,organization,Women in Cell Biology (WCIB) is a subcommittee of the American Society for Cell Biology (ASCB) created to promote women in cell biology and present awards.
Women in Cell Block 7,film,"Diario segreto da un carcere femminile (International title: Women in Cell Block 7, UK title: Love in a Woman's Prison) is a 1973 Italian women-in-prison film written and directed by Rino Di Silvestro. It marks Di Silvestro's directorial debut and the first Italian entry in the women-in-prison genre."
Women in Cellblock 9,film,"Women in Cellblock 9 (German: Frauen für Zellen-Block 9, lit. 'Women for Cell-Block 9') is a 1977 Swiss women in prison film directed by Jesús Franco."
Women in Chad,topic,"Women in Chad, a landlocked country in Central Africa, are the mainstay of its predominantly rural-based economy and they outnumber the men. Chad is a country with diverse and rich cultural practices, such as male beauty pageants (judged by women) and long-kept-secret hair products."
Women in Chains,film,"Women in Chains is a 1972 American television film directed by Bernard L. Kowalski for ABC's Movie of the Week. The leading players are Ida Lupino, Belinda Montgomery, Lois Nettleton and Jessica Walter."
Women in Chile,topic,"The lives, roles, and rights of women in Chile have gone through many changes over time. Chilean women's societal roles have historically been impacted by traditional gender roles and a patriarchal culture, but throughout the twentieth century, women increasingly involved themselves in politics and protest, resulting in provisions to the constitution to uphold equality between men and women and prohibit sex discrimination."
Women in China,topic,"Women in China make up approximately 49% of the population. In modern China, the lives of women have changed significantly due to the late Qing dynasty reforms, the changes of the Republican period, the Chinese Civil War, and the rise of the People's Republic of China."
Women in China during the Second Sino-Japanese War,topic,"Most women in China were profoundly impacted by the Second Sino-Japanese War (also referred to in China as the War of Resistance), in which the Empire of Japan fought the Republic of China starting in 1937, primarily due to the Marco Polo Bridge Incident on July 7, 1937. On September 2, 1945, Japan formally surrendered."
Women in Chinese government,topic,"Women in China are under-represented in government, especially in high-ranking positions."
Women in Christianity,topic,"Women have played important roles in Christianity especially in marriage and in formal ministry positions within certain Christian denominations, and parachurch organizations. Although more males are born than females naturally, and in 2014, the global population included 300 million more males of reproductive age than females (mainly in the Far East) in 2016, it was estimated that 52–53 percent of the world's Christian population aged 20 years and over was female, with this figure falling to 51.6 percent in 2020."
Women in Church history,topic,"Women play a variety of roles in Christianity—notably as contemplatives, healthcare providers, educationalists, and missionaries. Until recent times, women have been generally excluded from episcopal and clerical positions within certain Christian churches; however, great numbers of women were influential in the life of the church, from contemporaries of Jesus to subsequent saints, theologians, doctors of the church, missionaries, abbesses, nuns, mystics, founders of religious institutes, military leaders, monarchs, and martyrs."
Women in Cinema Collective,organization,"Women in Cinema Collective, abbreviated as WCC, is an organisation for women working in the Malayalam cinema industry, founded in November 2017. Among other achievements, the Hema committee was formed by the Government of Kerala in 2017 following a request by WCC to investigate problems faced by women in the Malayalam film industry."
Women in Colombia,topic,"As established in the Colombian Constitution of 1991, women in Colombia have the right to bodily integrity and autonomy; to vote (see also: Elections in Colombia); to hold public office; to work; to fair wages or equal pay; to own property; to receive an education; to serve in the military in certain duties, but are excluded from combat arms units; to enter into legal contracts; and to have marital, parental and religious rights. Women's rights in Colombia have been gradually developing since the early 20th century."
Women in Congress,disambiguation,Women in Congress may refer to:
Women in Crime Ink,organization,"Women in Crime Ink is an American daily crime blog that publishes both original and aggregated content. The blog was founded on March 10, 2008, as ""a well of thoughts on crime and media issues from women criminal justice professionals and authors""."
Women in Criminal Law,organization,"Women In Criminal Law (WICL) is an organisation founded in 2018 to promote and support women in the legal profession, both defence and prosecution. It was founded by Katy Thorne QC following concerns that too few women reached top appointments in law."
Women in Croatia,topic,Women in Croatia form half the population and in modern Croatian culture they are largely equal to men.
Women in Cuba,topic,"Women in Cuba have the same constitutional rights as men in the economic, political, cultural and social fields, as well as in the family. Cuba is regarded as a regional front-runner in women's rights."
Women in CyberSecurity,organization,"Women in CyberSecurity (WiCyS) is a 501(c)(3) non-profit aimed at supporting the recruitment, retention and advancement of women in cybersecurity. It is a global community of men and women dedicated to bringing talented women and under-represented groups together to fill the cybersecurity jobs gap and make the field of cybersecurity more inclusive."
Women in Cyprus,topic,"Cypriot women were greatly affected by changes in the wake of World War II, as they received expanded access to education and increased participation in the national workforce. Cyprus women have made great advancements in their society not just pertaining to education and the workplace, but also more women are beginning to hold political offices as well."
Women in DSO,organization,"Women in DSO is an American non-profit organization, which focuses on highlighting the contributions of women across the dental industry and promoting women leaders across the Dental Service Organizations."
Women in Data,organization,"Women in Data is an organisation and movement that aims to empower women and support them through the various stages of their careers in data. 
Although women comprise about 50% of the United Kingdom (UK) population, only 20% of professionals in artificial intelligence and data in the UK are women."
Women in Data Science Initiative,topic,"In the field of AI and data science, companies lag in their ability to attract and retain talent, innovate, and meet shareholder/stakeholder expectations. As a significant portion of the population, the immense potential of women's talent is still excluded."
Women in Defense,film,Women in Defense is a 1941 short film produced by the Office of Emergency Management shortly before the United States entered the Second World War. It was directed by John Ford.
Women in Denmark,topic,"The modern-day character and the historical status of women in Denmark has been influenced by their own involvement in women's movements and political participation in the history of Denmark. Their mark can be seen in the fields of politics, women's suffrage, and literature, among others."
Women in Distress,topic,"Women in Distress (WID) is a nationally accredited, state-certified, full service domestic violence center in Broward County, Florida. WID adopts an empowerment based model."
Women in Docs,topic,"Women in Docs are an Australian independent folk pop music duo consisting of Chanel Lucas on lead vocals, guitar and bass guitar; and Roz Pappalardo on lead vocals, guitar and harmonica. They formed in Townsville, Queensland in 1998 as Roz and Chanel but soon changed their name and have released three studio albums, Under a Different Sky (2001), Red Wine and Postcards (2006) and Carousel (2013)."
Women in ETA,topic,Women in ETA in Francoist Spain were few in numbers.  Euskadi Ta Askatasuna (ETA) grew out of a Basque nationalist movement with roots that pre-dated the Second Spanish Republic.
Women in Ecuador,topic,"Women in Ecuador represent 51.7% of the total population, amounting to 8.7 million, according to the 2022 Census. The majority identify as mestiza (77.4%), followed by Indigenous (7.7%) and Afro-Ecuadorian (4.9%)."
Women in Egypt,topic,"The role of women in Egypt has changed significantly from ancient times to the modern era. 
Early archaeological records show that Egyptian women were considered equal to men, regardless of marital status."
Women in England,topic,Women in England are women who live in or are from England.
Women in Eritrea,topic,"Throughout the history of Eritrea, women have played an active role."
Women in Estonia,topic,"Women in Estonia are women who were born in, who live in, or are from Estonia in Europe."
Women in Ethiopia,topic,"There have been several studies concerning women in Ethiopia. Historically, elite and powerful women in Ethiopia have been visible as administrators and warriors."
Women in Etruscan society,topic,Women were respected in Etruscan society compared to their ancient Greek and Roman counterparts. Today only the status of aristocratic women is known because no documentation survives about women in other social classes.
Women in Euripides,topic,"Euripides (c. 480 – c. 406 BC) is one of the authors of classical Greece who took a particular interest in the condition of women within the Greek world. In a predominantly patriarchal society, he undertook, through his works, to explore and sometimes challenge the injustices faced by women and certain social or moral norms concerning them."
Women in Europe,topic,The evolution and history of European women coincide with the evolution and the history of Europe itself. Women's societal roles and rights vary by country and region and have changed significantly over time.
Women in Fiji,topic,"Women in Fiji live in or are from the Republic of Fiji. On March 8, 2007, The Fiji Times ONLINE described Fijian women as playing an important role in the fields of economic and social development in Fijian society."
Women in Film & Video Film Festival D.C.,film,"WIFV annual film festival is an annual film festival sponsored by Women in Film and Video, Washington, D.C. chapter. They were co-sponsored by the American Film Institute, with grants by the National Endowment for the Arts."
Women in Film & Video-DC Women of Vision Awards,film,Women in Film & Video Women of Vision Award is an annual award by the Women in Film and Television International District of Columbia.
Women in Film Awards Kenya,event,"Women in Film Awards Kenya (WIFA) is a pioneering annual awards ceremony dedicated to recognizing, celebrating, and empowering women filmmakers and creative professionals across Kenya's film and television industry. Founded in 2020 by Dr."
Women in Film Guild Botswana,topic,"Women in Film Guild Botswana (WIF Botswana) is a Botswana-based professional guild dedicated to assisting, educating, and empowering women working in the film and television industry. It was co-founded in 2021 by Serena Mmifinyana and Nikita Mokgware, both graduates of film-related program who came together with the goal of penetrating a male-dominated industry."
Women in Film Honors,topic,"The Women in Film Honors (also known as WIF Honors; formerly Women in Film Crystal + Lucy Awards)—first presented in 1977 by the now–Los Angeles chapter of the Women in Film organization—are presented to honor women in communications and media. The awards include the Crystal Award, the Lucy Award, the Dorothy Arzner Directors Award, the MaxMara Face of the Future Award, and the Kodak Vision Award."
Women in Film and Television (South Africa),film,"Women in Film and Television (South Africa) (WIFTSA) is the South Africa chapter of Women in Film and Television International WIFTI, a not-for-profit network of women dedicated to advancing the professional development and empowerment of women working in the film and television industry. WIFTI has more than 10,000 members across a network of 37 member organizations."
Women in Film and Television International,organization,"Women in Film & Television International (WIFTI) is a global network of non-profit membership chapters. Established in 1997, it is dedicated to advancing professional development and achievement for women working in all areas of film, video, and other screen-based media."
Women in Film and Television Kenya,film,"Women in Film and Television Kenya (WIFT Kenya) is a non-profit professional organization and company limited by guarantee that supports the participation and advancement of women working in film, television and other screen media in Kenya. It was established in July 2025 by filmmaker and producer Njoki Muhoho and serves as the Kenyan chapter of Women in Film and Television International (WIFTI) and is a member of the Women in Film and Television Africa (WIFT Africa) regional network."
Women in Film and Television New Zealand Awards,event,"The Women in Film and Television New Zealand Awards, also known as the WIFT NZ Awards, are a set of awards that celebrate and encourage the achievements of New Zealand women in film, television and digital media. The awards are administered by Women in Film and Television New Zealand, the national chapter of Women in Film and Television International, and have been awarded since 2004."
Women in Finland,topic,"Women in Finland enjoy a ""high degree of equality"" and ""traditional courtesy"" among men. In 1906, the women of Finland became the first women in Europe to be granted the right to vote."
Women in Focus,film,"Women in Focus (WIF) was a feminist film and video distribution centre and gallery based in Vancouver, Canada. It operated from 1974 to 1992."
Women in France,topic,"The roles of women in France have changed throughout history. In 1944, French women obtained women's suffrage."
Women in Francoist Spain,topic,"Women in Francoist Spain (1939–1978) were the last generation of women to not be afforded full equality, which wouldn't be granted until the Spanish Constitution was signed in 1978. Women during this period found traditional Catholic Spanish gender roles being imposed on them, in terms of their employment opportunities and role in the family."
Women in French Guiana,topic,Women in French Guiana are women living in or are from French Guiana. Some of these women are from the Maroon society of French Guiana.
Women in Games,organization,"Women in Games, formally Women in Games WIGJ is a UK-based community interest company which aims to recruit more women into the video gaming industry and to protect the interests of women in the industry. It was founded in 2009 and originally known as Women in Games Jobs (WIGJ); the initials are still part of its legal name."
Women in Georgia (country),topic,"Women in Georgia live in a society which has been changing over the centuries, where, after decades of Soviet regime, from the 1990s onwards, the culture has seen rapid social changes and new emerging values, but has also been affected by economic instability."
Women in German,organization,"The Coalition of Women in German, often known as WiG, is a professional organization for women engaged in the field of German studies. The organization was started in 1974."
Women in German Studies,organization,"Women+ in German Studies (W+IGS) is an organisation, which was founded in 1988 in order to connect female Germanists in Great Britain and Ireland and support them in all aspects of their professional life."
Women in German history series,artwork,"Women in German history (Frauen der deutschen Geschichte) is a definitive stamp series issued in the Federal Republic of Germany (FRG) and West Berlin from 1986 to 1990, and in reunited Germany 1990 to 2003. The series was replaced by the current definitive series Blumen (flowers) from 3 January 2005."
Women in Germany,topic,"The roles of German women have changed throughout history, as the culture and society in which they lived had undergone various transformations. In the past and in the present the situation of women has differed between German regions, notably during the 20th century, when West Germany and East Germany had different political and socioeconomic organization."
Women in Ghana,topic,The status of women in Ghana and their roles in Ghanaian society has changed over the past few decades. There has been a slow increase in the political participation of Ghanaian women throughout history.
Women in Global Health,organization,"Women in Global Health is an organization and a movement that advocates for inclusive gender equity in health by challenging power and privilege. It is the largest community of its kind, with 65 chapters worldwide, working to put the power into the hands women of all backgrounds to create real change across the health sector."
Women in Governance Awards,event,The Women in Governance Awards are an annual set of awards which recognise commitment to diversity by both organisations and individuals in New Zealand. The awards are administered by Governance New Zealand and have been awarded every year since 2016.
Women in Greece,topic,"The status and characteristics of ancient and modern-day women in Greece evolved from events that occurred in Greek history. In Michael Scott's article, ""The Rise of Women in Ancient Greece"" (History Today), the place of women and their achievements in Ancient Greece was best described by Thucidydes in this quotation: ""The greatest glory [for women] is to be least talked about among men, whether in praise or blame."" However, the status of Greek women underwent considerable change and advancement in the 20th century."
Women in Guam,topic,Women in Guam are residents of the unincorporated territory of the United States of Guam.
Women in Guam History,organization,"Famalao’an Guåhan: Women In Guam History is a 2019 publication highlighting the lives of 28 notable women who contributed to Guam's culture. The book was the second printed publication from Guampedia, a non-profit associated with the University of Guam."
Women in Guyana,topic,"Women in Guyana are a cross-section of Asian, African, and indigenous backgrounds. British colonization and imperialism have contributed to the sexism against Guyanese women in the household, politics, and education."
Women in Haiti,topic,"Women in Haiti have equal constitutional rights to men in the economic, political, cultural and social fields, as well as in the family.
However, the reality in Haiti is quite far from the law."
Women in Hawaii,topic,Women in Hawai'i reside in the Hawaiian Island and are citizens of the United States. Immigrants and Native Hawaiians make up the population of women in Hawai'i.
Women in Hinduism,topic,"Diverse views on women and their roles exist within Hinduism. 
Ancient and medieval era Hindu texts differ in their positions on the duties and rights of women."
Women in Hong Kong,topic,"Traditionally, women in Hong Kong have been situated within the context of Chinese family and society, in which they were treated the same as Mainland women or Taiwanese women. However, there are cultural differences between Mainland Chinese citizens and citizens of Hong Kong."
Women in Hospital,film,"Women in Hospital (German: Frauenstation) is a 1977 West German drama film directed by Rolf Thiele and starring Horst Buchholz, Stephen Boyd, and Lillian Müller.
It was made at the Bavaria Studios in Munich."
Women in Housing and Finance,organization,Women in Housing and Finance (WHF) is a membership organization of professionals in the area of housing and finance located in the greater metropolitan area of New York City. It was founded in 1981.
Women in Hungary,topic,"The roles of women in Hungary have changed significantly over the past 200 years. Historically, in the present day territory of Hungary, discourses on women’s roles, rights, and political access, along with feminist movements, have developed within the context of extremely traditional gender roles that were influenced by Roman Catholicism, Lutheranism and Calvinism."
Women in Iceland,topic,"Women in Iceland generally enjoy good gender equality. As of 2018, 88% of working-age women were employed, 65% of students attending university were female, and 41% of members of parliament were women."
Women in India,topic,"The status of women in India has been subject to many changes over the time of recorded India's history. Their position in society deteriorated early in India's ancient period, especially in the Indo-Aryan speaking regions, and their subordination continued to be reified well into India's early modern period."
Women in Indonesia,topic,"The roles of women in Indonesia today are being affected by many factors, including increased modernization, globalization, improved education and advances in technology. Many Indonesian women choose to reside in cities instead of staying in townships to perform agricultural work because of personal, professional, and family-related necessities, and economic requirements."
Women in Iran,topic,"Women in Iran have played diverse roles and contributed to various aspects of society, economy, and culture. For centuries, traditional gender norms in Iran confined women primarily to the domestic sphere, with expectations to manage the household and raise children."
Women in Iraq,topic,"The status of women in Iraq has been affected by wars, Islamic law, the Constitution of Iraq, cultural traditions, and secularism. Women's rights organizations in Iraq continue to struggle against harassment and intimidation while they work to promote improvements to women's status in the law, in education, the workplace, and many other spheres of Iraqi life."
Women in Islam,topic,"The experiences of Muslim women (Arabic: مسلمات Muslimāt, singular مسلمة Muslimah) vary widely between and within different societies due to culture and values that were often predating Islam's introduction to the respective regions of the world. At the same time, their adherence to Islam is a shared factor that affects their lives to a varying degree and gives them a common identity that may serve to bridge the wide cultural, social, and economic differences between Muslim women."
Women in Ismailism,topic,"Women of the Ismaili sect are part of Shia Islam. Some subsects have women's rights issues, others observe a relatively progressive environment within their sects, which is also dependent on the laws in the countries practicing this sect."
Women in Israel,topic,"Women in Israel comprise 50.23 percent of the state's population as of 2023. While Israel lacks an official constitution, the Israeli Declaration of Independence of 1948 states that “The State of Israel (…) will ensure complete equality of social and political rights to all its inhabitants irrespective of religion, race or sex.”
Israeli law prohibits discrimination based on gender in matters such as employment and wages, and provides for class-action lawsuits."
Women in Israeli local government,topic,"According to the year 2015, women stand at the head of 7 out of 256 local authorities in Israel."
Women in Italian neorealism,film,"Filmic representations of women have developed in tandem with changing historical and socio-cultural influences. Italian neorealism was a movement that, through art and film, attempted to ""[recover] the reality of Italy"" for an Italian society that was disillusioned by the propaganda of fascism."
Women in Italy,topic,Women in Italy refers to women who are from (or reside in) Italy. The legal and social status of Italian women has undergone rapid transformations and changes during the past decades.
Women in Ivory Coast,topic,Women in Ivory Coast formed less than half the country's population in 2003.  Their social roles and opportunities have changed since the time of French colonialism.
Women in Japan,topic,"Women in Japan were recognized as having equal legal rights to men after World War II. Japanese women first gained the right to vote in 1880, but this was a temporary event limited to certain municipalities, and it was not until 1945 that women gained the right to vote on a permanent, nationwide basis.
Modern policy initiatives in Japan have aimed to promote both motherhood and women's participation in the workforce, but these efforts have yielded mixed results."
